cell_type	colour	class	indications
B.cells_normal_Newman15.MERGED	green4	Major	Mel
B.cells.naive_normal_Newman15	chartreuse3	Subtype	Mel,OvCa
B.cells.memory_normal_Newman15	darkseagreen1	Subtype	Mel,OvCa
Plasma.cells_normal_Newman15	darkcyan	Subtype	Mel,OvCa
T.cells_melanoma_Tirosh16	blue2	Major	Mel
T.cells.CD8_normal_Newman15	cyan2	Subtype	Mel,OvCa
T.cells.naive_normal_Newman15	steelblue1	Subtype	Mel,OvCa
T.cells.memory.resting_normal_Newman15	dodgerblue3	Subtype	Mel,OvCa
T.cells.memory.activated_normal_Newman15	violetred3	Subtype	Mel,OvCa
T.cells.regulatory_normal_Newman15	orchid3	Subtype	Mel,OvCa
T.cells.gamma.delta_normal_Newman15	darkviolet	Subtype	Mel,OvCa
NK.cells_normal_Newman15.MERGED	violetred1	Subtype	PBMC
Myeloid.cell.Blood_Normal_Zhang18	orangered2	Major	Mel
Monocytes_normal_Newman15	chocolate4	Subtype	PBMC
Dendritic.cells_normal_Newman15.MERGED	gold	Major	Mel
CD141.CLEC9A.dendritic.cell_Normal_Zhang18	khaki3	Subtype	PBMC
CD1C.A.dendritic.cell_Normal_Zhang18	khaki1	Subtype	PBMC
CD1C.B.dendritic.cell_Normal_Zhang18	burlywood	Subtype	PBMC
CD1Cmin.CD141min.dendr.cell_Normal_Zhang18	darkgoldenrod3	Subtype	PBMC
AXL.SIGLEC6.dendritic.cell_Normal_Zhang18	rosybrown2	Subtype	PBMC
Plasmacytoid.dendritic.cell_Normal_Zhang18	darkolivegreen1	Major	PBMC
