orig-name	rank
Midostaurin	1
Sunitinib	2
Sorafenib	3
Quizartinib	4
Gilteritinib	5
Crenolanib	6
Dasatinib	7
Rigosertib	8
Everolimus	9
Temsirolimus	10
Barasertib	11
Alisertib	12
Volasertib	13
Alvocidib	14
Palbociclib	15
Decitabine	16
Azacitidine	17
Guadecitabine	18
Voronistat	19
Panobinostat	20
Pracinostat	21
Valproic Acid	22
AG-120	23
AG-221	24
EPZ-5676	25
OTX015	26
GSK525762	27
CPX-351	28
Vosaroxin	29
Cladribine	30
Clofarabine	31
Sapaticabine	32
Ventoclax	33
Vismodegib	34
PF-04449913	35
Gemtuzumab-ozogamicin	36
SGN-CD33	37
Car-T123	38
Plerixafor	39
BMS-936564	40
Glasdegib	41
Cytarabine	42
Daunorubicin	43
Idarubicin	44
Mitoxantron	45
Etoposide	46
