cell_type	colour	class	indications
T.cells_ovca_find.markers.14.group.4.8.11.15.17	blue2	Major	OvCa
T.cells.CD8_normal_Newman15	cyan2	Subtype	Mel,OvCa
T.cells.CD4.naive_normal_Newman15	steelblue1	Subtype	Mel,OvCa
T.cells.memory.resting_normal_Newman15	dodgerblue3	Subtype	Mel,OvCa
T.cells.memory.activated_normal_Newman15	violetred3	Subtype	Mel,OvCa
T.cells.regulatory_normal_Newman15	orchid3	Subtype	Mel,OvCa
T.cells.gamma.delta_normal_Newman15	slateblue3	Subtype	Mel,OvCa
Tcell.CD8.early.activated_melanoma_Feldman18	cadetblue2	Subtype	Mel
T.cell.memory.effector_melanoma_Feldman18	plum1	Subtype	Mel
T.cell.CD8.exhausted_melanoma_Feldman18	mediumpurple1	Subtype	Mel
NK.cells.resting_normal_Newman15	darksalmon	Subtype	Mel,OvCa
NK.cells.activated_normal_Newman15	deeppink4	Subtype	Mel,OvCa
Macrophages_ovca_find.markers.14.group.1.10.13.19	chocolate4	Major	OvCa
B.cells_ovca_find.markers.14.group.12.20	green4	Major	OvCa
B.cells.naive_normal_Newman15	chartreuse2	Subtype	Mel,OvCa
B.cells.memory_normal_Newman15	darkseagreen1	Subtype	Mel,OvCa
Plasma.cells_normal_Newman15	darkcyan	Subtype	Mel,OvCa
HGSOC_ovca_find.markers.14.group.0.2.3.5.6.7	red2	Major	OvCa
Fibroblasts_ovca_find.markers.14.group.14	chocolate1	Major	OvCa
Endothelial.progenitor_ovca_find.markers.14.group.16	magenta	Major	OvCa
M1.Macrophages_normal_literature	yellow3	Subtype	Mel,OvCa
M2.Macrophages_normal_literature	wheat	Subtype	Mel,OvCa
TAM.Macrophages_normal_literature	lightsalmon	Subtype	Mel,OvCa
TCRpos.Macrophages_normal_literature	gold	Subtype	Mel,OvCa
CD169pos.Macrophages_normal_literature	darkgoldenrod3	Subtype	Mel,OvCa
Mesothelial.cells_group_2.3.4.6.7.8.9.15	darkviolet	Major	OvCa
Plasmacytoid.dendritic.cell_melanoma_classifier	darkolivegreen1	Major	Mel,OvCa
