orig-name	rank
Cyclophosphamide	1
Doxorubicin	2
Epirubicin	3
Methotrexate	4
5-fluorouracil	5
Capecitabine	6
Eribulin	7
Ixabepilone	8
Olaparib	9
Gemcitabine	10
Docetaxel	11
Paclitaxel	12
Vinblastine	13
Ipatasertib	14
Bicalutamide	15
Enzalutamide	16
Pembrolizumab	17
Atezolizumab	18
Avelumab	19
Sacituzumab govitecan	20
Palbociclib	21
Ribociclib	22
Prexasertib	23
Abiraterone	24
Cetuximab	25
Mifepristone	26
OTS167	27
Trametinib	28
Everolimus	29
Niraparib	30
Rucaparib	31
Talazoparib	32
Veliparib	33
Alpelisib	34
Buparlisib	35
Carboplatin	36
Cisplatin	37
Bortezomib	38
Dasatinib	39
Bevacizumab	40
AZD1775	41
prednisone	42
Afatinib	43
Erlotinib	44
Cobimetinib	45
Temsirolimus	46
AZD8186	47
Vinorelbine	48
Romidepsin	49
Vorinostat	50
Sunitinib	51
Nilotinib	52
Imatinib	53
Trastuzumab	54
Lapatinib	55
