SYMBOL	group	notes	known_mutations
ADH1B	tumor_marker		
ALDH1A1	tumor_marker		
ALDH1A2	tumor_marker		
ALDH1A3	tumor_marker		
ANGPT1	drug_target		
ANGPT2	drug_target		
AR	tumor_marker		
ARID1A	drug_target		
BCL2	drug_target		
BRAF	drug_target		
BRCA1	drug_target		
BRCA2	drug_target		
CDKN2A	drug_target		
CCND1	drug_target		
CCNE1	drug_target		
PROM1	tumor_marker		
CD24	tumor_marker		
CDK12	drug_target		
CDK4	drug_target		
CDK6	drug_target		
KRT14	tumor_marker		
KRT5	tumor_marker		
KRT6A	tumor_marker		
KRT6B	tumor_marker		
KRT8	tumor_marker		
KRT18	tumor_marker		
DDR1	drug_target		
DNMT1	drug_target		
ESR1	drug_target		
ESR2	drug_target		
ERBB2	drug_target	;ALIAS:HER2;	
EMSY	drug_target	C11orf30	
KRAS	drug_target		
KRT19	tumor_marker		
KRT7	tumor_marker		
L1CAM	tumor_marker		
MSLN	tumor_marker		
MUC1	tumor_marker		
MUC16	tumor_marker		
MYC	drug_target		
NF1	drug_target		
